Date,Hour,Volume,Speed
1/6/2008,10,652,54
1/6/2008,11,805,55
1/6/2008,12,1087,55
1/6/2008,13,1247,55
1/6/2008,14,1290,56
1/6/2008,15,1300,56
1/6/2008,16,1232,57
1/6/2008,17,1239,56
1/6/2008,18,1036,55
1/6/2008,19,960,56
1/6/2008,20,773,53
1/6/2008,21,611,54
1/6/2008,22,557,54
1/6/2008,23,446,53
1/7/2008,0,343,54
1/7/2008,1,305,51
1/7/2008,2,263,50
1/7/2008,3,277,50
1/7/2008,4,302,49
1/7/2008,5,631,55
1/7/2008,6,925,54
1/7/2008,7,1680,54
1/7/2008,8,1864,55
1/7/2008,9,1549,54
1/7/2008,10,1310,56
1/7/2008,11,1454,57
1/7/2008,12,1617,58
1/7/2008,13,1671,59
1/7/2008,14,1792,59
1/7/2008,15,2131,60
1/7/2008,16,2904,59
1/7/2008,17,3897,55
1/7/2008,18,2990,55
1/7/2008,19,1759,56
1/7/2008,20,1139,56
1/7/2008,21,855,56
1/7/2008,22,601,54
1/7/2008,23,461,51
1/8/2008,0,424,52
1/8/2008,1,316,48
1/8/2008,2,299,49
1/8/2008,3,282,46
1/8/2008,4,324,47
1/8/2008,5,641,53
1/8/2008,6,874,54
1/8/2008,7,1853,53
1/8/2008,8,1997,54
1/8/2008,9,1486,54
1/8/2008,10,1319,54
1/8/2008,11,1368,54
1/8/2008,12,1512,57
1/8/2008,13,1646,56
1/8/2008,14,1810,58
1/8/2008,15,2248,57
1/8/2008,16,3067,57
1/8/2008,17,3890,54
1/8/2008,18,3081,54
1/8/2008,19,1784,51
1/8/2008,20,1044,43
1/8/2008,21,858,49
1/8/2008,22,702,51
1/8/2008,23,527,50
1/9/2008,0,417,52
1/9/2008,1,312,52
1/9/2008,2,287,50
1/9/2008,3,296,49
1/9/2008,4,326,55
1/9/2008,5,639,60
1/9/2008,6,871,60
1/9/2008,7,1856,61
1/9/2008,8,2045,61
1/9/2008,9,1581,60
1/9/2008,10,1401,54
1/9/2008,11,1560,55
1/9/2008,12,1613,56
1/9/2008,13,1735,54
1/9/2008,14,1845,54
1/9/2008,15,2366,55
1/9/2008,16,3085,55
1/9/2008,17,3984,54
1/9/2008,18,3000,58
1/9/2008,19,1914,61
1/9/2008,20,1321,64
1/9/2008,21,1157,64
1/9/2008,22,932,66
1/9/2008,23,575,61
1/10/2008,0,416,59
1/10/2008,1,323,53
1/10/2008,2,306,53
1/10/2008,3,299,51
1/10/2008,4,332,50
1/10/2008,5,672,61
1/10/2008,6,922,64
1/10/2008,7,1884,64
1/10/2008,8,2038,62
1/10/2008,9,1517,61
1/10/2008,10,1353,58
1/10/2008,11,1520,55
1/10/2008,12,1630,52
1/10/2008,13,1703,49
1/10/2008,14,1677,48
1/10/2008,15,2148,47
1/10/2008,16,3024,47
1/10/2008,17,3233,45
1/10/2008,18,3191,46
1/10/2008,19,1728,51
1/10/2008,20,1109,52
1/10/2008,21,1307,54
1/10/2008,22,1059,55
1/10/2008,23,570,56
1/11/2008,0,416,53
1/11/2008,1,332,50
1/11/2008,2,299,49
1/11/2008,3,292,47
1/11/2008,4,329,53
1/11/2008,5,633,61
1/11/2008,6,853,62
1/11/2008,7,1822,61
1/11/2008,8,1922,62
1/11/2008,9,1479,62
1/11/2008,10,1401,62
1/11/2008,11,1562,62
1/11/2008,12,1771,62
1/11/2008,13,1785,61
1/11/2008,14,1997,62
1/11/2008,15,2432,61
1/11/2008,16,3257,61
1/11/2008,17,3927,60
1/11/2008,18,2836,62
1/11/2008,19,1682,65
1/11/2008,20,1208,67
1/11/2008,21,1055,67
1/11/2008,22,998,66
1/11/2008,23,894,67
1/12/2008,0,618,65
1/12/2008,1,399,61
1/12/2008,2,364,59
1/12/2008,3,330,59
1/12/2008,4,319,57
1/12/2008,5,328,58
1/12/2008,6,423,61
1/12/2008,7,586,61
1/12/2008,8,794,67
1/12/2008,9,907,67
1/12/2008,10,1030,63
1/12/2008,11,1207,56
1/12/2008,12,1517,55
1/12/2008,13,1332,56
1/12/2008,14,1375,57
1/12/2008,15,1411,57
1/12/2008,16,1445,56
1/12/2008,17,1477,57
1/12/2008,18,1395,60
1/12/2008,19,1137,62
1/12/2008,20,893,64
1/12/2008,21,758,64
1/12/2008,22,757,64
1/12/2008,23,883,63
1/13/2008,0,578,63
1/13/2008,1,382,63
1/13/2008,2,337,60
1/13/2008,3,317,61
1/13/2008,4,299,60
1/13/2008,5,299,58
1/13/2008,6,298,59
1/13/2008,7,386,59
1/13/2008,8,416,58
1/13/2008,9,537,57
1/13/2008,10,654,57
1/13/2008,11,875,60
1/13/2008,12,797,60
1/13/2008,13,1416,62
1/13/2008,14,1191,66
1/13/2008,15,1142,68
1/13/2008,16,1314,68
1/13/2008,17,1248,69
1/13/2008,18,1113,68
1/13/2008,19,1002,68
1/13/2008,20,779,66
1/13/2008,21,786,67
1/13/2008,22,512,64
1/13/2008,23,424,62
1/14/2008,0,342,59
1/14/2008,1,282,53
1/14/2008,2,259,54
1/14/2008,3,262,53
1/14/2008,4,305,55
1/14/2008,5,602,65
1/14/2008,6,884,65
1/14/2008,7,1834,68
1/14/2008,8,1905,66
1/14/2008,9,1395,62
1/14/2008,10,1202,61
1/14/2008,11,1296,66
1/14/2008,12,1466,67
1/14/2008,13,1513,68
1/14/2008,14,1635,67
1/14/2008,15,2035,69
1/14/2008,16,2808,68
1/14/2008,17,3929,68
1/14/2008,18,2832,69
1/14/2008,19,1741,70
1/14/2008,20,1108,70
1/14/2008,21,899,68
1/14/2008,22,608,63
1/14/2008,23,483,59
1/15/2008,0,368,57
1/15/2008,1,302,52
1/15/2008,2,276,50
1/15/2008,3,294,51
1/15/2008,4,305,55
1/15/2008,5,621,64
1/15/2008,6,883,65
1/15/2008,7,1671,69
1/15/2008,8,1773,67
1/15/2008,9,1386,66
1/15/2008,10,1275,65
1/15/2008,11,1371,64
1/15/2008,12,1591,61
1/15/2008,13,1620,57
1/15/2008,14,1802,56
1/15/2008,15,2284,59
1/15/2008,16,2980,61
1/15/2008,17,3753,65
1/15/2008,18,3031,68
1/15/2008,19,1833,70
1/15/2008,20,1191,70
1/15/2008,21,991,69
1/15/2008,22,765,66
1/15/2008,23,550,60
1/16/2008,0,384,55
1/16/2008,1,324,51
1/16/2008,2,288,51
1/16/2008,3,289,51
1/16/2008,4,319,54
1/16/2008,5,630,63
1/16/2008,6,858,66
1/16/2008,7,1770,70
1/16/2008,8,1905,65
1/16/2008,9,475,50
1/16/2008,10,981,50
1/16/2008,11,1400,51
1/16/2008,12,1570,53
1/16/2008,13,1524,53
1/16/2008,14,1710,57
1/16/2008,15,2211,63
1/16/2008,16,3207,63
1/16/2008,17,3846,63
1/16/2008,18,2968,65
1/16/2008,19,1829,67
1/16/2008,20,1165,67
1/16/2008,21,1001,67
1/16/2008,22,800,64
1/16/2008,23,565,61
1/17/2008,0,352,56
1/17/2008,1,332,52
1/17/2008,2,281,52
1/17/2008,3,306,51
1/17/2008,4,345,52
1/17/2008,5,672,60
1/17/2008,6,915,61
1/17/2008,7,1737,61
1/17/2008,8,1802,60
1/17/2008,9,1399,60
1/17/2008,10,1320,63
1/17/2008,11,1431,63
1/17/2008,12,1641,63
1/17/2008,13,1633,64
1/17/2008,14,1753,63
1/17/2008,15,2414,64
1/17/2008,16,3227,64
1/17/2008,17,3638,62
1/17/2008,18,2714,62
1/17/2008,19,1709,64
1/17/2008,20,1170,65
1/17/2008,21,1297,63
1/17/2008,22,1014,63
1/17/2008,23,586,61
1/18/2008,0,393,58
1/18/2008,1,298,52
1/18/2008,2,286,53
1/18/2008,3,303,51
1/18/2008,4,333,53
1/18/2008,5,646,63
1/18/2008,6,870,68
1/18/2008,7,1775,67
1/18/2008,8,1863,69
1/18/2008,9,1474,67
1/18/2008,10,1380,67
1/18/2008,11,1511,68
1/18/2008,12,1739,65
1/18/2008,13,1695,61
1/18/2008,14,1921,60
1/18/2008,15,2542,61
1/18/2008,16,3194,62
1/18/2008,17,3863,65
1/18/2008,18,2511,69
1/18/2008,19,1637,70
1/18/2008,20,1013,69
1/18/2008,21,964,67
1/18/2008,22,861,67
1/18/2008,23,859,67
1/19/2008,0,527,65
1/19/2008,1,359,59
1/19/2008,2,347,57
1/19/2008,3,310,59
1/19/2008,4,302,56
1/19/2008,5,336,58
1/19/2008,6,422,62
1/19/2008,7,576,66
1/19/2008,8,680,65
1/19/2008,9,806,68
1/19/2008,10,932,68
1/19/2008,11,1112,68
1/19/2008,12,1309,70
1/19/2008,13,1328,69
1/19/2008,14,1393,69
1/19/2008,15,1403,69
1/19/2008,16,1397,71
1/19/2008,17,1385,69
1/19/2008,18,1146,69
1/19/2008,19,964,67
1/19/2008,20,739,68
1/19/2008,21,766,67
1/19/2008,22,796,68
1/19/2008,23,763,69
1/20/2008,0,517,64
1/20/2008,1,346,61
1/20/2008,2,310,57
1/20/2008,3,305,59
1/20/2008,4,292,59
1/20/2008,5,279,58
1/20/2008,6,318,59
1/20/2008,7,366,60
1/20/2008,8,375,61
1/20/2008,9,469,63
1/20/2008,10,679,67
1/20/2008,11,882,68
1/20/2008,12,1126,69
1/20/2008,13,1311,68
1/20/2008,14,1278,68
1/20/2008,15,1329,70
1/20/2008,16,1289,70
1/20/2008,17,1195,70
1/20/2008,18,1046,69
1/20/2008,19,916,68
1/20/2008,20,681,64
1/20/2008,21,645,65
1/20/2008,22,497,66
1/20/2008,23,460,62
1/21/2008,0,347,58
1/21/2008,1,299,55
1/21/2008,2,276,55
1/21/2008,3,265,54
1/21/2008,4,273,53
1/21/2008,5,394,58
1/21/2008,6,711,65
1/21/2008,7,1328,69
1/21/2008,8,1308,68
1/21/2008,9,1042,68
1/21/2008,10,1199,64
1/21/2008,11,1329,63
1/21/2008,12,1406,59
1/21/2008,13,1404,56
1/21/2008,14,1607,54
1/21/2008,15,1793,57
1/21/2008,16,2350,60
1/21/2008,17,2850,67
1/21/2008,18,2164,69
1/21/2008,19,1319,70
1/21/2008,20,874,66
1/21/2008,21,746,66
1/21/2008,22,590,63
1/21/2008,23,460,62
1/22/2008,0,368,56
1/22/2008,1,311,52
1/22/2008,2,277,50
1/22/2008,3,276,51
1/22/2008,4,310,51
1/22/2008,5,651,53
1/22/2008,6,858,57
1/22/2008,7,1545,58
1/22/2008,8,1553,63
1/22/2008,9,1496,64
1/22/2008,10,1270,64
1/22/2008,11,1249,64
1/22/2008,12,1326,65
1/22/2008,13,1426,66
1/22/2008,14,1667,66
1/22/2008,15,2193,66
1/22/2008,16,3025,66
1/22/2008,17,3721,65
1/22/2008,18,2663,68
1/22/2008,19,1596,70
1/22/2008,20,1080,69
1/22/2008,21,839,67
1/22/2008,22,659,62
1/22/2008,23,455,58
1/23/2008,0,339,53
1/23/2008,1,301,51
1/23/2008,2,281,52
1/23/2008,3,299,51
1/23/2008,4,335,54
1/23/2008,5,673,65
1/23/2008,6,910,67
1/23/2008,7,1763,67
1/23/2008,8,1826,68
1/23/2008,9,1547,65
1/23/2008,10,1278,64
1/23/2008,11,1425,62
1/23/2008,12,1623,59
1/23/2008,13,1538,56
1/23/2008,14,1852,56
1/23/2008,15,2288,58
1/23/2008,16,3191,61
1/23/2008,17,3800,63
1/23/2008,18,2803,68
1/23/2008,19,1681,70
1/23/2008,20,1228,69
1/23/2008,21,1154,69
1/23/2008,22,844,67
1/23/2008,23,500,61
1/24/2008,0,396,55
1/24/2008,1,306,52
1/24/2008,2,273,53
1/24/2008,3,295,52
1/24/2008,4,334,52
1/24/2008,5,653,63
1/24/2008,6,930,67
1/24/2008,7,1821,67
1/24/2008,8,1764,66
1/24/2008,9,1067,64
1/24/2008,10,1263,67
1/24/2008,11,1420,67
1/24/2008,12,1561,54
1/24/2008,13,1678,60
1/24/2008,14,864,55
1/24/2008,15,1025,56
1/24/2008,16,1358,56
1/24/2008,17,1661,55
1/24/2008,18,1244,54
1/24/2008,19,774,56
1/24/2008,20,571,54
1/24/2008,21,480,54
1/24/2008,22,400,52
1/24/2008,23,297,51
1/25/2008,0,211,49
1/25/2008,1,169,47
1/25/2008,2,149,46
1/25/2008,3,147,44
1/25/2008,4,157,46
1/25/2008,5,235,49
1/25/2008,6,441,52
1/25/2008,7,825,53
1/25/2008,8,900,51
1/25/2008,9,706,51
1/25/2008,10,642,53
1/25/2008,11,698,53
1/25/2008,12,1584,60
1/25/2008,13,1713,61
1/25/2008,14,1876,59
1/25/2008,15,2343,61
1/25/2008,16,3080,67
1/25/2008,17,3720,68
1/25/2008,18,2679,69
1/25/2008,19,1710,66
1/25/2008,20,1012,68
1/25/2008,21,882,67
1/25/2008,22,736,67
1/25/2008,23,815,66
1/26/2008,0,497,63
1/26/2008,1,380,59
1/26/2008,2,330,57
1/26/2008,3,331,58
1/26/2008,4,304,56
1/26/2008,5,355,61
1/26/2008,6,412,61
1/26/2008,7,667,66
1/26/2008,8,681,67
1/26/2008,9,865,67
1/26/2008,10,956,66
1/26/2008,11,1164,69
1/26/2008,12,1343,68
1/26/2008,13,1354,70
1/26/2008,14,1388,70
1/26/2008,15,1372,70
1/26/2008,16,1342,70
1/26/2008,17,1465,70
1/26/2008,18,1554,68
1/26/2008,19,1100,69
1/26/2008,20,841,67
1/26/2008,21,676,68
1/26/2008,22,661,66
1/26/2008,23,660,66
1/27/2008,0,467,65
1/27/2008,1,375,62
1/27/2008,2,318,60
1/27/2008,3,326,61
1/27/2008,4,279,57
1/27/2008,5,313,56
1/27/2008,6,331,60
1/27/2008,7,401,62
1/27/2008,8,392,64
1/27/2008,9,568,62
1/27/2008,10,729,66
1/27/2008,11,904,61
1/27/2008,12,1335,57
1/27/2008,13,1481,57
1/27/2008,14,1500,56
1/27/2008,15,1398,57
1/27/2008,16,1502,55
1/27/2008,17,1359,60
1/27/2008,18,1257,63
1/27/2008,19,1003,65
1/27/2008,20,980,66
1/27/2008,21,782,67
1/27/2008,22,511,63
1/27/2008,23,439,61
1/28/2008,0,311,59
1/28/2008,1,278,56
1/28/2008,2,271,52
1/28/2008,3,271,53
1/28/2008,4,322,52
1/28/2008,5,594,63
1/28/2008,6,905,68
1/28/2008,7,1933,68
1/28/2008,8,2041,63
1/28/2008,9,1459,64
1/28/2008,10,1230,57
1/28/2008,11,1408,55
1/28/2008,12,1514,57
1/28/2008,13,1640,56
1/28/2008,14,1921,58
1/28/2008,15,2247,56
1/28/2008,16,3123,56
1/28/2008,17,3979,55
1/28/2008,18,3213,54
1/28/2008,19,1702,57
1/28/2008,20,1088,56
1/28/2008,21,821,55
1/28/2008,22,668,53
1/28/2008,23,449,51
1/29/2008,0,353,53
1/29/2008,1,314,48
1/29/2008,2,281,48
1/29/2008,3,275,51
1/29/2008,4,334,50
1/29/2008,5,732,56
1/29/2008,6,1015,58
1/29/2008,7,1980,55
1/29/2008,8,1828,53
1/29/2008,9,1502,52
1/29/2008,10,1232,51
1/29/2008,11,670,53
1/29/2008,12,738,54
1/29/2008,13,756,52
1/29/2008,14,800,53
1/29/2008,15,991,54
1/29/2008,16,1297,54
1/29/2008,17,1694,53
1/29/2008,18,1473,52
1/29/2008,19,869,54
1/29/2008,20,594,53
1/29/2008,21,497,51
1/29/2008,22,390,49
1/29/2008,23,321,48
1/30/2008,0,125,46
1/30/2008,1,162,43
1/30/2008,2,145,43
1/30/2008,3,140,42
1/30/2008,4,147,43
1/30/2008,5,250,48
1/30/2008,6,410,50
1/30/2008,7,784,50
1/30/2008,8,978,51
1/30/2008,9,790,50
1/30/2008,10,659,51
1/30/2008,11,694,51
1/30/2008,12,789,53
1/30/2008,13,767,53
1/30/2008,14,775,53
1/30/2008,15,985,54
1/30/2008,16,2814,59
1/30/2008,17,3355,49
1/30/2008,18,2863,53
1/30/2008,19,1796,64
1/30/2008,20,1244,61
1/30/2008,21,1050,66
1/30/2008,22,705,64
1/30/2008,23,544,59
1/31/2008,0,384,57
1/31/2008,1,337,55
1/31/2008,2,273,50
1/31/2008,3,280,54
1/31/2008,4,329,54
1/31/2008,5,581,61
1/31/2008,6,967,60
1/31/2008,7,1759,68
1/31/2008,8,1953,63
1/31/2008,9,1480,67
1/31/2008,10,1448,63
1/31/2008,11,1500,64
1/31/2008,12,1726,66
1/31/2008,13,1710,63
1/31/2008,14,2067,66
1/31/2008,15,2222,64
1/31/2008,16,3386,66
1/31/2008,17,3714,62
1/31/2008,18,2513,68
1/31/2008,19,1666,68
1/31/2008,20,1117,65
1/31/2008,21,878,60
1/31/2008,22,491,52
1/31/2008,23,531,55
